review,sentiment
"Recently, a friend and I were discussing educational and ethical influences when we were growing up in the 1950's versus today. She mentioned Samuel Taylor Coleridge, who, in 1798, wrote The Rime of The Ancient Mariner. Both of us had been required to recite parts of the epic poem in high school and in English Literature courses in college. My friend said, ""Its messages even might be called metaphysical within today's context."" <br /><br />We tried reciting it and only remembered bits and pieces. (I have problems remembering Dr. Seuss.) I said I'd get two copies of the poem so each could read it. That was easy enough, but I was extremely surprised to find it had been made into a film. We looked forward to watching the film to see how it had been interpreted. After all, The Rime of the Ancient Mariner isn't exactly light reading. After each had read the poem, we watched the film together.<br /><br />We considered the film a remarkable achievement, especially considering it was made in the 1970's, before computers, before the so-called ""Ken Burns effect,"" and before special effects too often began compensating for a lack of substance. Particularly noteworthy are the 19th and 20th century illustrations culled from ""lesser known artists,"" such as Willy Pogany, the early Hollywood designer. <br /><br />The film is narrated by Sir Michael Redgrave, whom had taught the poem when he was a schoolmaster, adding a tone of authority and credibility in remaining true to the poem. <br /><br />Its mastery is in the layers of subtle messages, conveyed without ""instructing,"" or becoming an oppressive and obvious morality tale. We found it such a refreshing change from today's 'in your face' and 'clobber them over the head' mentality. Most of today's morality messages in film are two-dimensional: extreme violence, murder and mayhem mark the bad. The bad are really, really, bad, and good are super heroes. It is as if human character lacked any nuance. The Rime of The Ancient Mariner is a celebration of the individual, of character, of an appreciation for celebrating all the richness life has to offer, within the larger context of humanity, i.e., man's capacity to give to others. <br /><br />Proud of ourselves for having found this ""unknown"" gem, we then learned it had won the top award in its category five out of six times at ""name"" international film festivals. Another surprise was learning the film's director, Raul daSilva, is a recognized authority on early animation, and authored six award winning books about film. <br /><br />This film's message is just as relevant today, if not more so, than when Coleridge penned the original epic poem and when Raul daSilva translated it to film. If I still was teaching high school, which I did for five years, I'd grab this one and show it to all my students. There's a level of richness here that naturally leads to discussion about the big and important issues all of us face, whether in 1798, 1978, or today--in fact, as long as humanity has a spiritual component.<br /><br />Highly recommended.",1
"A lonely depressed French boy Mathieu (Jeremie Elkaim) on vacation in the summer, meets and falls in love with Cedric (the gorgeous Stephane Rideau). Quiet and slow this is a very frustrating movie. On one hand, I was absorbed by it and really felt for the two boys. On the other I was getting annoyed--the film constantly keeps flashing around from the past to the present with no rhyme or reason. It's very confusing and pointless. <br /><br />SPOILERS AHEAD!!!<br /><br />Also there are tons of plot holes--Mathieu, at one point, does something that ends him up in the hospital. What is it--we're never told! Then he breaks up with Cedric and tells everybody else he's living with him. Why? We're not told. Then he hooks up inexplicably with another guy at the end. Why? No explanation. It's clear Cedric loves Mathieu and Mathieu is living in the same town so... However it is a tribute to the film that you really care about the characters so much. If only things were explained!<br /><br />Elkaim as Mathieu is not good. He's tall, handsome and has a nice body--but he can't act. His idea of acting is sitting around with a blank look on his face--all the time. Rideau, on the other hand, is great. He's VERY handsome, has a very nice body and is one hell of an actor. Also he has an incredible sexual magnetism about him. There is full frontal male nudity, lots of kissing and a fairly explicit sex scene in the movie which is great--most movies shy away from showing male-male love scenes. This one doesn't and it helps to see how the characters care and feel for each other.<br /><br />So, a frustrating film but somewhat worth seeing--especially for Rideau's nude scenes--that is, if you like good-looking nude young men!<br /><br />",1
"If you like The Three Stooges you'll undoubtedly like this 17 minute short. There were certainly some amusing moments in it, but like all the Stooges' work, this revolves around their particular style of slapstick comedy, and I have to confess that somehow the Stooges just never really did it for me. Their slapstick always seemed angry rather than funny, and even though it was obviously fake, their antics always seemed more likely to cause hurt rather than to cause laughter. In this short, the slapstick revolves around the attempts to find Shemp (who is a Professor of Music in this) a wife, because he's just inherited half a million dollars on condition that he marry within 48 hours of the will being read. One of his students is interested, but once word of the inheritance gets out , there's suddenly a long line-up of potential brides, and a pretty good cat fight emerges between them. Fans of the Stooges will enjoy. For me, it has all the elements that drive me nuts about them. 4/10",0
"This movie was an attempt to go into places most don't and perhaps shouldn't venture into. It was a similar trial at the bizarre, head-case perspective given to us in The Cell, although not near as in-depth and well portrayed. The plot is constructed simply with an initial campy feel to it. Then, as the movie takes its supposed ""dramatic"" turn, the plot falls apart on what few legs it had to stand on in the first place. <br /><br />Basically the idea is that of a kid (Chris McKenna) who needs money. He takes on the role of a hit man, killing a city accountant. Then he doesn't get paid for his work but instead gets tortured for several days because he dreamed up the ""brilliant"" idea of trying to use a backup file he had as leverage for payment. This idiotic move at trying to force them to pay him backfires as he is horribly and endlessly abused. He begins to go crazy (some very disturbing scenes). Then, thinking he has paid for his sins and can start over, he visits the wife (Kari Wuhrer) of the man who he killed and wins her affections. Soon after she discovers who he is, tragedy strikes, and revenge sweeps through the air as the boy goes after his torturers (Daniel Baldwin, George Wendt, Vernon Wells) for their previous ""kindness"".<br /><br />I got to ask though, what is it with Kari Wuhrer and horror/gore type films?<br /><br />It seems everything she has put out lately has been in this genre. Granted, I liked her in ""Eight-Legged Freaks"" and she was okay in ""Anaconda"". But despite all her obvious cuteness and allure (wow, she's hot!), she can act much better and chose better roles. Or maybe, I'm wrong and that is just a misconception. For all you guys out there, you get to see the ""fully monty"" of her in this film, although it's rather bizarre and short-lived. I almost felt like she did some soft-porn after watching this film (something not foreign to Kari's career). The sex-simulation is such that it has to make you wonder what things really go on during filming. <br /><br />Anyway, I will say there is some good acting. Just don't expect much of it from Daniel Balwin, whose career seems forever destined to second his brother Alex's. The film did bring out a few old greats though, George Wendt (Norm from Cheers) and Vernon Wells (Commando, Weird Science). Above all, Chris McKenna does the best job in playing the main character, Sean Crawley. His little acting experience and yet his believable nature as a naive youth, bring some elements of substance to the film. <br /><br />I wouldn't go out of my way for this one. If you're bored and are tired of the same old episodes of ""The Hitchhiker"", then I might advise watching this.<br /><br />And Kari, please start acting in some better films!",0
"I'm not sure what version of the film I saw, but it was very entertaining.<br /><br />I did not know who the ""Twins"" were (Gillian Chung and Charlene Choi) before seeing this movie and I think the English translation of the title is somewhat misleading.<br /><br />The martial arts are very nicely done. I especially liked them, because there was a lot of judo/grappling that was filmed very nicely. Donnie Yen (see him in Hero, great performance) as a director is great as he knows how to shoot these scenes.<br /><br />Everything seemed to flow for me, except there is one scene where the girls are on the rooftop fighting with bamboo poles. It has really nothing to do with the plot, but it's still entertaining.<br /><br />Overall, this is one of the better (modern) HK action flicks I've seen in a while. Although cheesy in some respects, it still pulls it off.<br /><br />Definitely a 9/10",1
"""Look, I know this may suck right now, but pain is temporary, film is forever. Whatever you do right now is burned into celluloid for all time and for thousands of years to come.""  Robert De Niro<br /><br />This was initially a film for Steven Spielberg, the director hiring several screenwriters to adjust the screenplay so that it more suited his themes. And so we have a dysfunctional family that is threatened by a deranged monster in the form of a recently released from prison Robert De Niro. Like ""Jurassic Park"", ""Poltergeist"" and ""War of the Worlds"", the dysfunctional family bands together to defeat the beast, the beast being the creation of the father, a lawyer who failed to defend De Niro during his trial. <br /><br />In typical Spielberg fashion, the father kills the monster that undermines the family and is then promptly absolved of his sins. Like Oscar Schindler, Robin Williams, Sam Niel, Tom Cruise and virtually every ""daddy"" figure in Spielberg land, the father reclaims his paternal duty in the kind of bittersweet coda that Spielberg so enjoys.<br /><br />But Spielberg eventually abandoned the picture and the project was instead turned over to Martin Scorsese, who at the time was seeking to try his hand at more commercial fare. The result is arguably the worst film in Scorsese's filmography, and, ironically, his most illuminating.<br /><br />An artist's failures or misfires are often very revealing, exposing the inner workings of their art. When the story doesn't work, the characters don't connect or the images don't sear, we find ourselves left with a kind of inner core. This  the remaining carcass- is what the director's cinema is about.<br /><br />Now ""Cape Fear"" is an impersonal film, so we won't find any thematic connections to the rest of Scorsese's filmography (""You already sacrificed me!"" De Niro yells, but the films themes of Catholic redemption are cookie cutter). What the film does, though, is expose the kind of language that his filmography hinges on. Watch how Scorsese's camera desperately whips back and forth, how he zooms frantically onto doorknobs and windows in an attempt to force tension and how his characters are all loud and screaming for attention. But more importantly, watch how the film makes no spatial sense. A showdown on a boat at the end of the film takes place on an obvious sound-stage, a street parade is claustrophobic and takes place within no larger context and the family's house doesn't seem to exist anywhere in particular. There is simply no geographical sense to anything in the picture, Scorsese unable to film space or create any kind of spatial environment. <br /><br />The reason for this is that Scorsese's camera always has to be bound, or intimately tethered, to his central character. For the world around the character to make sense, his camera has to be focused on the character. Resnais can take you around a French Hotel, Welles and Hitchcock can dance you down a street and up a building, Cameron can give you a tour of the Titanic, Scott can recreate an entire future cityscape, Lucas can give you an alien desert planet, and most other directors can create a sense of space by textbook ""close up-mid shot-wide shot"" combinations, but Scorsese can't do this. There's no poetry, no sense of tangible space in his films. He's all about the character. You break that tether, you leave that boxing ring, that taxi cab, you look away from De Niro, and everything collapses. He simply cannot break away from this very documentarian style of shooting, which, in a way, is a prerequisite for action film-making.<br /><br />Scorsese tried to rectify this problem with ""Gangs of New York"", where the space and the sets become the central character, but even this self consciously spatial experiment gets sabotaged by the magnetism of Daniel Day Lewis, the actor drawing Scorsese's camera inexorably toward him like a moth to a bulb.<br /><br />5/10  Even as a generic B-movie, this is an ugly, vulgar looking film. Look at the matte paintings, the inept attempts at tension, the silly rotorscoped special effects and hokey fistfight showdown. Still, we have Robert De Niro to pick up the slack. De Niro, who gives his body over to Scorsese like a tattooed Christ, gives the film its only great scene. In an improvised romantic sequence with young a Juliette Lewis, he sticks his thumb into her mouth and kisses her. A kind of symbolic rape, the girl runs away, both aroused and repelled by this man's interest.<br /><br />But De Niro's performance, so deliciously over the top, simply can't be imitated by Scorsese. You'd need the operatic tone and the baroque visuals of someone like De Palma to make this work. But Scorsese? Nope.<br /><br />Worth one viewing.",0
"A swedish splatter movie? Has the world gone insane?<br /><br />Probably not, but it's still not a common sight in these days with swedish gore-flicks, the b-movie business in Sweden seems to have troubles these days, long gone are the golden days of ""Rymdinvasion i lappland"". And this movie seems to have some troubles on its own: it's just too much talk in it, it still manages to be somewhat amusing mainly for the good FX, which are great for a b-movie. The script and most of the acting is still pretty bad though, but that actually don't matter that much, it's supposed to be a gore flick and nothing more, that's where it goes a bit wrong for some reason. There's is simply not enough blood to fill the void. <br /><br />Every person who know about Gert Fylking will have a good laugh over his role as a sgt. though. I nearly laughed my ass off. It's really that hilariously bad. <br /><br />Besides the good parts I've listed there's really nothing else to recommend here unless you're starved for swedish B-movies.<br /><br />4/10",0
"This is almost like two films--one literate and engaging, the other stupid and clichéd. It's really a shame all the problems weren't worked out with the writing, but considering how quickly most B-movies were written and produced, this isn't too unusual. It's a real shame, though, as this could have been a very good film.<br /><br />First the good. The movie is original and involves WWII code-breakers. This is pretty fascinating and I liked watching the leading man (Lee Bowman) go through his paces as a master code-breaker. In fact, the first two-thirds of the film was very good. But now for the bad, the film just went on way too long and lost steam at about 50 minutes. Additionally, Jean Rogers' role as the ""kooky girlfriend"" must rank as one of the worst-written and distracting roles in film history!! For every smart move made by Bowman, the idiot Rogers then stepped in to screw things up as some sort of misguided ""comedy relief"". If her role had been intelligently written, the overall film would have improved immensely! Instead, watching her, it's hard to understand how we actually won WWII!!",0
"-may contain spoilers-<br /><br />Clearly, who ever made this film must have had a lot of connections. I just can't see it any other way. What really surprises me is no one used the name Allen Smithee, and more surprising, everyone involved didn't use this name.<br /><br />Anyhow, where to begin. The bad dialogue, the crummy costumes, the sorry looking film stock, the unintentional comedy, the over-the-top characters, and more inconsistencies than George W. Bush's college career. I don't know what was funnier, the guy losing his arm because of a snowball, or the slow motion scene where all the baby Jack Frosts' were getting killed. Also, one of the great lines of all time was uttered in this film. ""How do we know it's him?"" Like there's another mutant snowman who can talk and kill people with snowballs! A great camp film, but a very bad film overall.",0
"I just discovered this film and love it. Just the right mix of fast moving story, entertaining characters, hilarious moments (but not overloaded with stupid jokes), and fun performances by Kelsey Grammar, Harry Dean Stanton, Ron Schneider, Rip Torn and more. Buckman is especially good, and I really enjoyed watching the guy who played Stapanick.<br /><br />I also find it interesting that they used a real submarine, the Pampanito, for the running on top scenes and emulated it almost exactly for their sets. The set decoration is really impressive if you do a digital tour of the Pampanito online and then compare it to scenes in the movie. They did an excellent job on this film.<br /><br />What a light entertaining and truly enjoyable movie!",1
