review,sentiment
recently friend discussing educational ethical influence growing versus today mentioned samuel taylor coleridge wrote rime ancient mariner u required recite part epic poem high school english literature course college friend said message even might called metaphysical within today context br br tried reciting remembered bit piece problem remembering dr seuss said get two copy poem could read easy enough extremely surprised find made film looked forward watching film see interpreted rime ancient mariner exactly light reading read poem watched film together br br considered film remarkable achievement especially considering made computer called ken burn effect special effect often began compensating lack substance particularly noteworthy th th century illustration culled lesser known artist willy pogany early hollywood designer br br film narrated sir michael redgrave taught poem schoolmaster adding tone authority credibility remaining true poem br br mastery layer subtle message conveyed without instructing becoming oppressive obvious morality tale found refreshing change today face clobber head mentality today morality message film two dimensional extreme violence murder mayhem mark bad bad really really bad good super hero human character lacked nuance rime ancient mariner celebration individual character appreciation celebrating richness life offer within larger context humanity e man capacity give others br br proud found unknown gem learned top award category five six time name international film festival another surprise learning film director raul dasilva recognized authority early animation authored six award winning book film br br film message relevant today coleridge penned original epic poem raul dasilva translated film still teaching high school five year grab one show student level richness naturally lead discussion big important issue u face whether today fact long humanity spiritual component br br highly recommended,1
lonely depressed french boy mathieu jeremie elkaim vacation summer meet fall love cedric gorgeous stephane rideau quiet slow frustrating movie one hand absorbed really felt two boy getting annoyed film constantly keep flashing around past present rhyme reason confusing pointless br br spoiler ahead br br also ton plot hole mathieu one point something end hospital never told break cedric tell everybody else living told hook inexplicably another guy end explanation clear cedric love mathieu mathieu living town however tribute film really care character much thing explained br br elkaim mathieu good tall handsome nice body act idea acting sitting around blank look face time rideau hand great handsome nice body one hell actor also incredible sexual magnetism full frontal male nudity lot kissing fairly explicit sex scene movie great movie shy away showing male male love scene one help see character care feel br br frustrating film somewhat worth seeing especially rideau nude scene like good looking nude young men br br,1
like three stooge undoubtedly like minute short certainly amusing moment like stooge work revolves around particular style slapstick comedy confess somehow stooge never really slapstick always seemed angry rather funny even though obviously fake antic always seemed likely cause hurt rather cause laughter short slapstick revolves around attempt find shemp professor music wife inherited half million dollar condition marry within hour read one student interested word inheritance get suddenly long line potential bride pretty good cat fight emerges fan stooge enjoy element drive nut,0
movie attempt go place perhaps venture similar trial bizarre head case perspective given u cell although near depth well portrayed plot constructed simply initial campy feel movie take supposed dramatic turn plot fall apart leg stand first place br br basically idea kid chris mckenna need money take role hit man killing city accountant get paid work instead get tortured several day dreamed brilliant idea trying use backup file leverage payment idiotic move trying force pay backfire horribly endlessly abused begin go crazy disturbing scene thinking paid sin start visit wife kari wuhrer man killed win affection soon discovers tragedy strike revenge sweep air boy go torturer daniel baldwin george wendt vernon well previous kindness br br got ask though kari wuhrer horror gore type film br br seems everything put lately genre granted liked eight legged freak okay anaconda despite obvious cuteness allure wow hot act much better chose better role maybe wrong misconception guy get see fully monty film although rather bizarre short lived almost felt like soft porn watching film something foreign kari career sex simulation make wonder thing really go filming br br anyway say good acting expect much daniel balwin whose career seems forever destined second brother alex film bring old great though george wendt norm cheer vernon well commando weird science chris mckenna best job playing main character sean crawley little acting experience yet believable nature naive youth bring element substance film br br go way one bored tired old episode hitchhiker might advise watching br br kari please start acting better film,0
sure version film saw entertaining br br know twin gillian chung charlene choi seeing movie think english translation title somewhat misleading br br martial art nicely done especially liked lot judo grappling filmed nicely donnie yen see hero great performance director great know shoot scene br br everything seemed flow except one scene girl rooftop fighting bamboo pole really nothing plot still entertaining br br overall one better modern hk action flick seen although cheesy respect still pull br br definitely,1
look know may suck right pain temporary film forever whatever right burned celluloid time thousand year come  robert de niro br br initially film steven spielberg director hiring several screenwriter adjust screenplay suited theme dysfunctional family threatened deranged monster form recently released prison robert de niro like jurassic park poltergeist war world dysfunctional family band together defeat beast beast creation father lawyer failed defend de niro trial br br typical spielberg fashion father kill monster undermines family promptly absolved sin like oscar schindler robin williams sam niel tom cruise virtually every daddy figure spielberg land father reclaims paternal duty kind bittersweet coda spielberg enjoys br br spielberg eventually abandoned picture project instead turned martin scorsese time seeking try hand commercial fare result arguably worst film scorsese filmography ironically illuminating br br artist failure misfire often revealing exposing inner working art story work character connect image sear find left kind inner core  remaining carcass director cinema br br cape fear impersonal film find thematic connection rest scorsese filmography already sacrificed de niro yell film theme catholic redemption cookie cutter film though expose kind language filmography hinge watch scorsese camera desperately whip back forth zoom frantically onto doorknob window attempt force tension character loud screaming attention importantly watch film make spatial sense showdown boat end film take place obvious sound stage street parade claustrophobic take place within larger context family house seem exist anywhere particular simply geographical sense anything picture scorsese unable film space create kind spatial environment br br reason scorsese camera always bound intimately tethered central character world around character make sense camera focused character resnais take around french hotel welles hitchcock dance street building cameron give tour titanic scott recreate entire future cityscape lucas give alien desert planet director create sense space textbook close mid shot wide shot combination scorsese poetry sense tangible space film character break tether leave boxing ring taxi cab look away de niro everything collapse simply cannot break away documentarian style shooting way prerequisite action film making br br scorsese tried rectify problem gang new york space set become central character even self consciously spatial experiment get sabotaged magnetism daniel day lewis actor drawing scorsese camera inexorably toward like moth bulb br br  even generic b movie ugly vulgar looking film look matte painting inept attempt tension silly rotorscoped special effect hokey fistfight showdown still robert de niro pick slack de niro give body scorsese like tattooed christ give film great scene improvised romantic sequence young juliette lewis stick thumb mouth kiss kind symbolic rape girl run away aroused repelled man interest br br de niro performance deliciously top simply imitated scorsese need operatic tone baroque visuals someone like de palma make work scorsese nope br br worth one viewing,0
swedish splatter movie world gone insane br br probably still common sight day swedish gore flick b movie business sweden seems trouble day long gone golden day rymdinvasion lappland movie seems trouble much talk still manages somewhat amusing mainly good fx great b movie script acting still pretty bad though actually matter much supposed gore flick nothing go bit wrong reason simply enough blood fill void br br every person know gert fylking good laugh role sgt though nearly laughed as really hilariously bad br br besides good part listed really nothing else recommend unless starved swedish b movie br br,0
almost like two film one literate engaging stupid clichéd really shame problem worked writing considering quickly b movie written produced unusual real shame though could good film br br first good movie original involves wwii code breaker pretty fascinating liked watching leading man lee bowman go pace master code breaker fact first two third film good bad film went way long lost steam minute additionally jean rogers role kooky girlfriend must rank one worst written distracting role film history every smart move made bowman idiot rogers stepped screw thing sort misguided comedy relief role intelligently written overall film would improved immensely instead watching hard understand actually wwii,0
may contain spoiler br br clearly ever made film must lot connection see way really surprise one used name allen smithee surprising everyone involved use name br br anyhow begin bad dialogue crummy costume sorry looking film stock unintentional comedy top character inconsistency george w bush college career know funnier guy losing arm snowball slow motion scene baby jack frost getting killed also one great line time uttered film know like another mutant snowman talk kill people snowball great camp film bad film overall,0
discovered film love right mix fast moving story entertaining character hilarious moment overloaded stupid joke fun performance kelsey grammar harry dean stanton ron schneider rip torn buckman especially good really enjoyed watching guy played stapanick br br also find interesting used real submarine pampanito running top scene emulated almost exactly set set decoration really impressive digital tour pampanito online compare scene movie excellent job film br br light entertaining truly enjoyable movie,1
